,index,num_bandeja,idx,longitud_hoja,calidad_plantin,prediccion_calidad,h_filename,v_filename,pre_eval,evaluacion_prediccion
0,0,1,A1,58.12,3.0,3.0,h-2024-07-04_15-57-41.134221_ll_A1_C3.jpg,v-2024-07-04_15-57-41.134221_ll_A1_C3.jpg,0.0,1.0
1,3,1,A4,50.75,3.0,3.0,h-2024-07-04_15-58-05.727779_ll_A4_C3.jpg,v-2024-07-04_15-58-05.727779_ll_A4_C3.jpg,0.0,1.0
2,4,1,A5,50.8,3.0,3.0,h-2024-07-04_15-58-20.030491_ll_A5_C3.jpg,v-2024-07-04_15-58-20.030491_ll_A5_C3.jpg,0.0,1.0
3,7,1,A8,16.57,2.0,2.0,h-2024-07-04_15-58-44.855814_ll_A8_C2.jpg,v-2024-07-04_15-58-44.855814_ll_A8_C2.jpg,0.0,1.0
4,8,1,A9,45.96,2.0,3.0,h-2024-07-04_15-58-49.965377_ll_A9_C3.jpg,v-2024-07-04_15-58-49.965377_ll_A9_C3.jpg,-1.0,0.0
5,9,1,A10,13.28,2.0,2.0,h-2024-07-04_15-59-04.330251_ll_A10_C2.jpg,v-2024-07-04_15-59-04.330251_ll_A10_C2.jpg,0.0,1.0
6,10,1,A11,55.63,3.0,3.0,h-2024-07-04_15-59-09.527302_ll_A11_C3.jpg,v-2024-07-04_15-59-09.527302_ll_A11_C3.jpg,0.0,1.0
7,13,1,A14,14.59,2.0,2.0,h-2024-07-04_15-59-34.264987_ll_A14_C2.jpg,v-2024-07-04_15-59-34.264987_ll_A14_C2.jpg,0.0,1.0
8,14,1,A15,22.74,2.0,3.0,h-2024-07-04_15-59-39.381047_ll_A15_C3.jpg,v-2024-07-04_15-59-39.381047_ll_A15_C3.jpg,-1.0,0.0
9,15,1,A16,27.59,2.0,3.0,h-2024-07-04_15-59-58.558841_ll_A16_C3.jpg,v-2024-07-04_15-59-58.558841_ll_A16_C3.jpg,-1.0,0.0
